ticker,series,t,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
BLDR,real,13,0.021430325,-0.008047811,0.038102284,0.023434214,0.03172189,-0.026344217,-0.0017079427,0.00012209266,-0.00244469,-0.017780442,0.00012457184,0.017900608,0.0073144296,0.01817466,-0.015748356,-0.012190812,-0.060547967,0.02280292,0.018800631,0.0004998748
BLDR,halluc,13,0.019878011,-0.009925204,0.040040657,0.022424318,0.031694967,-0.02443343,-0.0037228833,-0.0011048948,-0.0043188618,-0.018852081,-0.0010817009,0.01971725,0.0058165374,0.01746983,-0.016757365,-0.01285204,-0.062058818,0.022918351,0.019154124,-0.0010683788
BLKB,real,13,-0.009504702,-0.0117227,0.01865877,0.022726443,-0.0051989085,-0.008088221,-0.014273356,0.01267973,-0.018674077,0.0016236408,-0.008471865,0.003919012,-0.055108976,0.032028493,-0.034442283,0.011669945,-0.009256151,-0.0048334287,0.0039720284,-0.015108387
BLKB,halluc,13,-0.007992035,-0.010228759,0.020200307,0.024237847,-0.0036859992,-0.006599566,-0.0127775995,0.014219338,-0.017166339,0.003109112,-0.006942465,0.005439886,-0.05359491,0.033539843,-0.032965712,0.013162579,-0.0077558947,-0.0033322354,0.005470235,-0.0136778755
BOH,real,13,0.011974597,0.0021138864,0.009457577,0.0050857514,0.0216169,0.013653816,-0.020294964,0.011213165,-0.014164723,-0.015542342,-0.0013061652,0.009625465,-0.0063632447,0.010497084,-0.018869713,-0.0019725168,-0.017528001,-0.002817092,0.007494682,0.0015987214
BOH,halluc,13,0.0127697745,0.0028645066,0.01032973,0.005966665,0.022465006,0.014400144,-0.019525615,0.012000687,-0.013352638,-0.014764656,-0.00045183892,0.01045144,-0.0055453433,0.011318481,-0.018011408,-0.001090134,-0.016738873,-0.0020193218,0.008281578,0.0023393077
BRBR,real,13,-0.0014587892,0.0003648973,0.034071792,0.02024502,-0.00554402,0.0006946856,-0.0017376198,0.037547074,0.006012042,0.0069686696,-0.0013236264,0.02614528,-0.0032310206,0.023981964,-0.02301156,-0.00064683054,0.009338339,-0.0041753715,0.011201909,-0.0031877616
BRBR,halluc,13,-0.00032951217,0.0013763043,0.035311352,0.021421377,-0.0043945853,0.0016568103,-0.00076784566,0.03867837,0.006752962,0.007946548,-0.00023540948,0.027309554,-0.0022892198,0.025168817,-0.022121385,0.0005376125,0.0102515835,-0.0030120024,0.012374454,-0.0028309077
BRX,real,13,0.026031839,-0.020770974,0.028450195,0.005509656,0.010092599,-0.016027335,-0.012837146,0.007722046,-0.0055710454,-0.020843133,0.012644598,0.0064781047,-0.003017894,-0.0047608833,0.0030322745,0.0043159323,-0.0372932,0.00044692738,0.010224583,-0.003988483
BRX,halluc,13,0.026572965,-0.020227622,0.028986903,0.0060476586,0.010607682,-0.015493951,-0.012312202,0.008277703,-0.005040667,-0.020293541,0.013210413,0.0070201624,-0.0024934476,-0.004223353,0.0035557547,0.0048315036,-0.03674065,0.0009853758,0.01072266,-0.003467618
BYD,real,13,-0.0009803924,-0.013164581,0.031629633,0.0006417455,-0.0033737682,0.067511246,-0.02266774,0.022216374,-0.018070495,-0.00630238,0.012108356,0.0051663998,0.017428325,0.002825911,-0.021315727,0.0042392192,-0.01798829,0.0035316735,-0.005379249,-0.02055187
BYD,halluc,13,0.00036801305,-0.011801169,0.033002164,0.0020684693,-0.0019833148,0.06478061,-0.021279842,0.023611698,-0.01671267,-0.0049840426,0.013435499,0.0065704314,0.01874725,0.0042643696,-0.019923858,0.0055496586,-0.016730133,0.004901042,-0.00395084,-0.019120954
CABO,real,13,-0.011947127,-0.026668586,0.0155016165,0.037179373,0.035928853,-0.026495565,-0.014900757,0.006040615,-0.007341548,-0.035233438,0.0070608063,-0.0022889818,-0.00299242,-0.01126348,-0.0139800925,-0.015306128,-0.036854457,0.009089289,-0.0092545645,-0.050076116
CABO,halluc,13,-0.0100111095,-0.028483277,0.014763789,0.037397068,0.034959905,-0.02825881,-0.013207378,0.0053516096,-0.009050602,-0.037050784,0.0054377792,-0.0028156396,-0.0039605806,-0.011701737,-0.015123693,-0.016948204,-0.038379684,0.007757514,-0.007793774,-0.051419463
