scenario_id,graph_index,date,ticker,series,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
63,2523,2022-01-28,STAA,real,0.009978088,-0.0018165298,-0.045400195,-0.0754088,0.01556731,-0.01786297,-0.044523243,0.011568092,-0.014481144,-0.043287825,-0.00092758145,-0.044735026,0.0006929524,0.013349131,-0.021975867,0.043612957,-0.071384646,-0.027678387,-0.034716837,0.022979092
63,2523,2022-01-28,STAA,halluc,0.009978088,-0.0018165298,-0.045400195,-0.0754088,0.01556731,-0.01786297,-0.044523243,0.011568092,-0.014481144,-0.043287825,-0.00092758145,-0.044735026,0.0006929524,0.013349131,-0.021975867,0.043612957,-0.071384646,-0.027678387,-0.034716837,0.022979092
63,2523,2022-01-28,STLD,real,-0.0037099577,-0.0035616034,0.029719394,0.03769368,-0.029384471,-0.027542103,-0.027992066,0.0062520765,0.04223153,-0.012339977,-0.009757736,-0.037839253,-0.015817259,-0.03450998,-0.08248893,0.04200337,-0.010659907,-0.018650297,0.022707101,0.010616976
63,2523,2022-01-28,STLD,halluc,-0.0037099577,-0.0035616034,0.029719394,0.03769368,-0.029384471,-0.027542103,-0.027992066,0.0062520765,0.04223153,-0.012339977,-0.009757736,-0.037839253,-0.015817259,-0.03450998,-0.08248893,0.04200337,-0.010659907,-0.018650297,0.022707101,0.010616976
63,2523,2022-01-28,STOR,real,0.0068012737,-0.0020210776,-0.006669591,-0.019686256,0.017647516,-0.0017508029,-0.011455552,-0.00414447,0.0059154266,-0.0017709567,-0.011887213,-0.024206933,-0.02229885,-0.027625188,-0.016556133,0.012685158,-0.013340038,-0.0072321156,-0.006288288,0.032661296
63,2523,2022-01-28,STOR,halluc,0.0068012737,-0.0020210776,-0.006669591,-0.019686256,0.017647516,-0.0017508029,-0.011455552,-0.00414447,0.0059154266,-0.0017709567,-0.011887213,-0.024206933,-0.02229885,-0.027625188,-0.016556133,0.012685158,-0.013340038,-0.0072321156,-0.006288288,0.032661296
63,2523,2022-01-28,SWX,real,0.0050161337,-0.016141005,0.002466808,-0.010050336,-0.007199032,0.0060272138,-0.0058797756,-0.013955096,-0.0061483285,-0.008004271,-0.0033414369,0.00060836505,-0.01285404,0.0036894735,-0.021402802,0.017405257,0.0041509783,0.017338837,0.0013561368,0.018499706
63,2523,2022-01-28,SWX,halluc,0.0050161337,-0.016141005,0.002466808,-0.010050336,-0.007199032,0.0060272138,-0.0058797756,-0.013955096,-0.0061483285,-0.008004271,-0.0033414369,0.00060836505,-0.01285404,0.0036894735,-0.021402802,0.017405257,0.0041509783,0.017338837,0.0013561368,0.018499706
63,2523,2022-01-28,SYNA,real,-0.016580582,0.0030194204,-0.039837737,-0.08324835,0.013082769,-0.025148211,-0.02701889,0.018053439,0.004632227,-0.031075489,0.009204591,-0.048517365,-0.054913,-0.066901624,-0.047055878,0.022667404,-0.06737915,0.013300937,-0.055954892,0.05569374
63,2523,2022-01-28,SYNA,halluc,-0.01535925,0.0024275351,-0.04126215,-0.07963061,0.012066156,-0.026905246,-0.019547919,0.021356817,-0.004593171,-0.030384092,0.0070647635,-0.060407188,-0.056652814,-0.05834975,-0.045571465,0.02336466,-0.06976378,0.007455686,-0.058483392,0.05640731
63,2523,2022-01-28,TCBI,real,-0.0048081,0.021375362,0.027913265,-0.0023758623,0.039946254,0.005773337,-0.007298192,0.002286412,-0.00015226495,0.0037996853,0.014158995,-0.022078622,-0.033110976,-0.026749413,0.023424786,0.016981538,-0.0024976598,-0.007058299,-0.026638467,0.00064641243
63,2523,2022-01-28,TCBI,halluc,-0.0048081,0.021375362,0.027913265,-0.0023758623,0.039946254,0.005773337,-0.007298192,0.002286412,-0.00015226495,0.0037996853,0.014158995,-0.022078622,-0.033110976,-0.026749413,0.023424786,0.016981538,-0.0024976598,-0.007058299,-0.026638467,0.00064641243
63,2523,2022-01-28,TDC,real,-0.013552521,0.015603804,-0.0027359799,-0.027544849,0.0053832782,-0.010795692,0.054861717,0.009337551,-0.009337551,-0.029697295,0.0077928416,-0.02403073,-0.010579621,-0.029745538,-0.04151211,0.029016543,-0.016907413,-0.008056438,-0.01759576,0.032648727
63,2523,2022-01-28,TDC,halluc,-0.013139096,0.018435575,-0.0057858815,-0.027423296,0.008062564,-0.009998698,0.055106927,0.010805397,-0.011969687,-0.02626184,0.0057650376,-0.02840827,-0.014350005,-0.02824055,-0.03848614,0.027299494,-0.016509794,-0.0065090125,-0.018815504,0.0316575
