ticker,num_pairs,num_points,corr_real_hall,mae,rmse,kl_divergence,js_divergence,tail_abs_p99_real,tail_abs_p99_hall,tail_ratio_p99
ST,63,1260,0.9927499230172034,0.0006799196483382296,0.0031057603146315265,0.08560265756955068,0.004117346767611486,0.0810226441,0.07971148,0.9838173128689588
MMS,100,2000,0.9912480977634067,0.0006794573683175849,0.002301049309545492,0.08664317913184816,0.0039559663065744455,0.046611853040000005,0.04685273341,1.0051677921878215
LECO,100,2000,0.9922141015730491,0.0006793818126622923,0.00216630145485031,0.13493640717675615,0.005912626640510848,0.04746122622999995,0.049319536419999976,1.0391542810334176
CASY,100,2000,0.9895574597117317,0.0006775858260295,0.0027325276393961075,0.14499347150833505,0.006503103591502746,0.062238447,0.055669263649999995,0.8944513613908135
CHDN,100,2000,0.9904266013524188,0.0006769200934092923,0.002719851848941069,0.02768738274839498,0.0018098910159798488,0.063212745,0.06224662019999999,0.9847162973226363
RBA,41,820,0.9929719183781381,0.0006728216702176731,0.0019702218325146187,0.1467080614539466,0.00853536990791089,0.06565433,0.05224871753999994,0.7958152575770698
UNM,100,2000,0.9913891848958818,0.0006625325727209386,0.0026758815354847873,0.09469738299675372,0.0038435704852258596,0.068862654,0.058085698139999906,0.8435007186914392
SSD,100,2000,0.9955001050125892,0.0006585124412755001,0.0018886300856130293,0.07895913414144096,0.004590961057439962,0.06380125313999994,0.06149762556999999,0.9638936939852095
BC,100,2000,0.9957198104977646,0.00065164922219,0.0023101222793846018,0.05191437504250653,0.0022600764410815816,0.07906375689999998,0.07722562739999995,0.97675130082264
COKE,89,1780,0.9924070371837675,0.0006489111832146067,0.0025434026194885153,0.11698707347842628,0.004760479668386023,0.06562074834000013,0.06407288554000021,0.9764119910370421
ASH,100,2000,0.9945191547497337,0.0006474070740082925,0.0022069099745546956,0.050570709891732527,0.00523464911560053,0.07631317005,0.07335501039999998,0.9612365775388199
