scenario_id,graph_index,date,ticker,constraint_mode,constraint_tolerance,target_drop,real_cum_return,hall_cum_return,hall_minus_target,abs_error,hit
18,3364,2025-06-09,AA,exact,0.01,-0.1,0.10561108589172363,-0.14720213413238525,-0.04720213413238525,0.04720213413238525,0
19,2941,2023-09-28,AA,exact,0.01,-0.1,-0.0464249849319458,-0.08692961931228638,0.013070380687713629,0.013070380687713629,0
20,2536,2022-02-16,AA,exact,0.01,-0.1,0.3053833246231079,-0.13307029008865356,-0.03307029008865356,0.03307029008865356,0
21,3058,2024-03-18,AA,exact,0.01,-0.1,0.13658785820007324,-0.15333861112594604,-0.05333861112594604,0.05333861112594604,0
22,2875,2023-06-26,AA,exact,0.01,-0.1,-0.02367556095123291,-0.09039878845214844,0.009601211547851568,0.009601211547851568,1
23,3261,2025-01-08,AA,exact,0.01,-0.1,-0.15274184942245483,-0.11047089099884033,-0.010470890998840326,0.010470890998840326,0
24,3171,2024-08-28,AA,exact,0.01,-0.1,-0.025564491748809814,-0.07800722122192383,0.021992778778076177,0.021992778778076177,0
25,2858,2023-05-31,AA,exact,0.01,-0.1,-0.10846602916717529,-0.11219584941864014,-0.012195849418640131,0.012195849418640131,0
26,3529,2026-02-05,AA,exact,0.01,-0.1,-0.10137069225311279,-0.09845155477523804,0.0015484452247619684,0.0015484452247619684,1
27,2760,2023-01-09,AA,exact,0.01,-0.1,0.06324028968811035,-0.14678680896759033,-0.046786808967590326,0.046786808967590326,0
28,2695,2022-10-05,AA,exact,0.01,-0.1,-0.15904325246810913,-0.09562593698501587,0.004374063014984136,0.004374063014984136,1
29,3306,2025-03-17,AA,exact,0.01,-0.1,-0.03693711757659912,-0.08207720518112183,0.01792279481887818,0.01792279481887818,0
30,2630,2022-07-05,AA,exact,0.01,-0.1,-0.3192625045776367,-0.03543996810913086,0.06456003189086915,0.06456003189086915,0
31,2612,2022-06-07,AA,exact,0.01,-0.1,0.21108245849609375,-0.14414572715759277,-0.04414572715759277,0.04414572715759277,0
32,3505,2025-12-30,AA,exact,0.01,-0.1,0.3056422472000122,-0.058572232723236084,0.04142776727676392,0.04142776727676392,0
33,2638,2022-07-15,AA,exact,0.01,-0.1,-0.1575034260749817,-0.11644262075424194,-0.016442620754241938,0.016442620754241938,0
34,2577,2022-04-18,AA,exact,0.01,-0.1,0.08503150939941406,-0.15293967723846436,-0.05293967723846435,0.05293967723846435,0
35,2659,2022-08-15,AA,exact,0.01,-0.1,0.19310498237609863,-0.09452056884765625,0.0054794311523437556,0.0054794311523437556,1
36,2954,2023-10-17,AA,exact,0.01,-0.1,-0.019760072231292725,-0.083895742893219,0.01610425710678101,0.01610425710678101,0
37,2812,2023-03-24,AA,exact,0.01,-0.1,-0.1355796456336975,-0.09127068519592285,0.008729314804077154,0.008729314804077154,1
38,3130,2024-07-01,AA,exact,0.01,-0.1,-0.10323017835617065,-0.10908669233322144,-0.00908669233322143,0.00908669233322143,1
39,3014,2024-01-12,AA,exact,0.01,-0.1,0.15633416175842285,-0.17899060249328613,-0.07899060249328613,0.07899060249328613,0
40,3363,2025-06-06,AA,exact,0.01,-0.1,0.0927513837814331,-0.14736473560333252,-0.047364735603332514,0.047364735603332514,0
41,3143,2024-07-19,AA,exact,0.01,-0.1,-0.10415595769882202,-0.10236454010009766,-0.0023645401000976507,0.0023645401000976507,1
42,2710,2022-10-26,AA,exact,0.01,-0.1,0.21061599254608154,-0.18286246061325073,-0.08286246061325073,0.08286246061325073,0
43,2827,2023-04-17,AA,exact,0.01,-0.1,0.042145490646362305,-0.14230412244796753,-0.042304122447967524,0.042304122447967524,0
44,3121,2024-06-17,AA,exact,0.01,-0.1,-0.09046685695648193,-0.1047903299331665,-0.004790329933166498,0.004790329933166498,1
45,3443,2025-10-01,AA,exact,0.01,-0.1,0.08807456493377686,-0.1377640962600708,-0.037764096260070795,0.037764096260070795,0
46,3404,2025-08-06,AA,exact,0.01,-0.1,-0.03368210792541504,-0.09035223722457886,0.009647762775421148,0.009647762775421148,1
47,2891,2023-07-19,AA,exact,0.01,-0.1,0.01811802387237549,-0.12401634454727173,-0.024016344547271723,0.024016344547271723,0
48,2810,2023-03-22,AA,exact,0.01,-0.1,-0.180639386177063,-0.11805284023284912,-0.018052840232849116,0.018052840232849116,0
49,2800,2023-03-08,AA,exact,0.01,-0.1,-0.039968788623809814,-0.08006399869918823,0.019936001300811773,0.019936001300811773,0
50,3372,2025-06-20,AA,exact,0.01,-0.1,-0.014503002166748047,-0.12780147790908813,-0.02780147790908813,0.02780147790908813,0
51,2687,2022-09-23,AA,exact,0.01,-0.1,-0.375790536403656,-0.0140458345413208,0.0859541654586792,0.0859541654586792,0
52,2903,2023-08-04,AA,exact,0.01,-0.1,-0.004106760025024414,-0.09797614812850952,0.002023851871490484,0.002023851871490484,1
53,2701,2022-10-13,AA,exact,0.01,-0.1,-0.052387535572052,-0.1143304705619812,-0.014330470561981196,0.014330470561981196,0
54,2786,2023-02-15,AA,exact,0.01,-0.1,-0.09412431716918945,-0.0955621600151062,0.004437839984893804,0.004437839984893804,1
55,2702,2022-10-14,AA,exact,0.01,-0.1,-0.0967969298362732,-0.10241544246673584,-0.0024154424667358343,0.0024154424667358343,1
56,2588,2022-05-03,AA,exact,0.01,-0.1,-0.2886688709259033,-0.09507334232330322,0.004926657676696783,0.004926657676696783,1
57,3499,2025-12-19,AA,exact,0.01,-0.1,0.4303656816482544,4.601478576660156e-05,0.10004601478576661,0.10004601478576661,0
58,2969,2023-11-07,AA,exact,0.01,-0.1,-0.09045755863189697,-0.11117875576019287,-0.011178755760192866,0.011178755760192866,0
59,3300,2025-03-07,AA,exact,0.01,-0.1,-0.08307391405105591,-0.1109735369682312,-0.010973536968231196,0.010973536968231196,0
60,3276,2025-01-31,AA,exact,0.01,-0.1,-0.049259722232818604,-0.085243821144104,0.014756178855896002,0.014756178855896002,0
61,3292,2025-02-25,AA,exact,0.01,-0.1,-0.01715761423110962,-0.09479653835296631,0.005203461647033697,0.005203461647033697,1
62,3509,2026-01-07,AA,exact,0.01,-0.1,0.4334017038345337,-0.0042833685874938965,0.09571663141250611,0.09571663141250611,0
63,2523,2022-01-28,AA,exact,0.01,-0.1,-0.03739726543426514,-0.08157449960708618,0.018425500392913824,0.018425500392913824,0
64,3400,2025-07-31,AA,exact,0.01,-0.1,-0.049175143241882324,-0.08585339784622192,0.014146602153778082,0.014146602153778082,0
65,3373,2025-06-23,AA,exact,0.01,-0.1,0.026090145111083984,-0.1321282982826233,-0.032128298282623285,0.032128298282623285,0
66,2678,2022-09-12,AA,exact,0.01,-0.1,-0.007960617542266846,-0.08211231231689453,0.017887687683105474,0.017887687683105474,0
67,3168,2024-08-23,AA,exact,0.01,-0.1,0.01798856258392334,-0.10442405939102173,-0.004424059391021723,0.004424059391021723,1
68,3033,2024-02-09,AA,exact,0.01,-0.1,-0.12920981645584106,-0.09155678749084473,0.008443212509155279,0.008443212509155279,1
69,2978,2023-11-20,AA,exact,0.01,-0.1,0.1355433464050293,-0.1488538384437561,-0.0488538384437561,0.0488538384437561,0
70,3522,2026-01-27,AA,exact,0.01,-0.1,0.11243700981140137,-0.16277962923049927,-0.06277962923049926,0.06277962923049926,0
71,2897,2023-07-27,AA,exact,0.01,-0.1,0.007427215576171875,-0.10018616914749146,-0.00018616914749144953,0.00018616914749144953,1
