ticker,num_pairs,num_points,corr_real_hall,mae,rmse,kl_divergence,js_divergence,tail_abs_p99_real,tail_abs_p99_hall,tail_ratio_p99
AVT,150,3000,0.9936931701805877,0.0008361771146744407,0.0020661623016860046,0.05299996608157274,0.003751815898798059,0.057730537,0.05761849466999997,0.9980592189883835
TKR,150,3000,0.993257900036688,0.0008349334642269692,0.002421386766552605,0.0719694498399602,0.00380504119161507,0.06426758429999961,0.06348804884999998,0.9878704722063182
VNT,150,3000,0.9929775355558822,0.0008318144087788744,0.002365011673008753,0.06328398815485456,0.004163039983567352,0.05891756003,0.058711555049999996,0.9965035045596744
EEFT,148,2960,0.9920178853166386,0.0008268686967784297,0.0028966148182363446,0.044994816034158475,0.002797826499965026,0.07827852299999895,0.0740012730999999,0.9453585768346817
PFGC,150,3000,0.9945027320313947,0.0008255756167078152,0.0020787787627055167,0.06780701927817732,0.005094636563566077,0.06381339319999782,0.06138649347,0.9619688029691249
BMRN,60,1200,0.9901388689386317,0.0008242537516333333,0.003205966349207507,0.15885675162933294,0.008436579160704928,0.06141368,0.06040473139999999,0.9835712727196936
CRUS,150,3000,0.9919198875568513,0.0008223047551886232,0.0029290122632849597,0.06379350827344729,0.0029924798932501394,0.07435561,0.07265741,0.9771611045891494
NEOG,110,2200,0.9968966870994674,0.0008214602626904544,0.0021010228168877004,0.039041985797032525,0.0035145781236531693,0.08340739,0.08000305263999977,0.9591842238439516
KMT,42,840,0.9975553540302557,0.000818774594925,0.0017167725955555089,0.03339208601086202,0.009326171852554167,0.06247995114000001,0.06339018704000002,1.0145684476922914
KEX,150,3000,0.9865773719739269,0.0008186133346838333,0.003602372887362554,0.07675821254373096,0.002768304796129012,0.06275797,0.06139161743999968,0.9782282224871149
GDDY,32,640,0.9879222942836793,0.0008139364789531249,0.0030125341791365032,0.17064696115374856,0.010340765247870639,0.038054638,0.037940076280000005,0.9969895464516048
RS,150,3000,0.9903134753463583,0.0008132081478303332,0.002512649138580025,0.06574816173552245,0.0031680389188659275,0.058602624,0.054096773,0.9231117876223427
PZZA,58,1160,0.997314884760798,0.0008129065073931034,0.0016855333582163762,0.017045299992707173,0.004712274836562911,0.06311913764,0.06302353,0.9984852828543808
NGVT,51,1020,0.9977069300272863,0.0008114778485490196,0.0016224772257677775,0.09954605920631211,0.0061972926471707615,0.07754933853999997,0.07754933853999997,1.0
COKE,132,2640,0.9918804463129289,0.0008112967370969963,0.002667897872549259,0.08694954575362797,0.004138290232096753,0.06711144994000047,0.06334614200000001,0.9438947013755961
COLM,150,3000,0.9927499593769611,0.0008101945539928872,0.0025366264255713275,0.06632208457325628,0.0031989994263860928,0.05863934802,0.05737840017999898,0.9784965576429848
IBKR,133,2660,0.9932579241310535,0.0008083310156365905,0.0026058476990632328,0.0571058986172429,0.00348855092261394,0.07154353,0.06838518839999988,0.9558542666262049
CADE,148,2960,0.9949233764822527,0.0008067835652943398,0.0022412786265956918,0.03604937379117876,0.002880047383680583,0.067473225,0.06737883881,0.9986011311894458
OLLI,150,3000,0.9975572575523158,0.0008067163073395331,0.0019162993556783119,0.03994119693556471,0.0030795844278904494,0.0892727951999998,0.08649877474,0.9689264747027906
URBN,16,320,0.9976239008464195,0.0008051100942874998,0.0024697423131827714,0.08942248566491656,0.011417324716631906,0.13781814350000007,0.13020736810000005,0.9447766802924608
HUBB,62,1240,0.9961153804296068,0.0008006451102249999,0.001593978831970619,0.028036945634272642,0.004425618849336191,0.05329059145999982,0.052920346319999985,0.9930523356964851
CHE,150,3000,0.9852371519310048,0.0007990053686806666,0.002907668900016501,0.09903505251878236,0.005390704158897308,0.052629977030000004,0.05135475285,0.9757700031053955
FLS,150,3000,0.9909536771465572,0.0007978751271735282,0.003014615844543825,0.061302057958095714,0.0026636190571802075,0.06829087,0.06738903,0.9867941351457377
OMCL,41,820,0.9926133086568998,0.0007973949023329269,0.004058926823839465,0.06322428860452041,0.002927173816830049,0.08532900349999928,0.08398032109999938,0.984194326141405
RYAN,60,1200,0.9938122354251682,0.0007953429583641668,0.002236028368215582,0.06522650006808228,0.007334548227397689,0.07420958435,0.06872437236,0.9260848576629981
WSO,150,3000,0.9940777303402946,0.0007941480048249999,0.002112247053830671,0.026703853658176416,0.0033566597524445946,0.0559933,0.052778552349999334,0.9425869228996921
HTZ,48,960,0.9982399582913928,0.0007939035269775958,0.002175964191003956,0.06168065092659906,0.0039032846802382276,0.1221896892999999,0.11285449246,0.9236007809375786
