scenario_id,graph_index,date,ticker,constraint_mode,constraint_tolerance,target_drop,real_cum_return,hall_cum_return,hall_minus_target,abs_error,nontarget_mean_abs_delta,objective_track,energy_component,component_split_mode,encoder_checkpoint,critic_checkpoint,train_neg_mode,hit
36,2624,2022-06-27,AFG,exact,0.01,-0.1,0.019722700119018555,-0.13264518976211548,-0.03264518976211547,0.03264518976211547,0.002781626535579562,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
37,3266,2025-01-17,AFG,exact,0.01,-0.1,-0.009403347969055176,-0.08384281396865845,0.01615718603134156,0.01615718603134156,0.0029881352093070745,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
38,1748,2018-12-27,AFG,exact,0.01,-0.1,-0.14472150802612305,-0.10584425926208496,-0.005844259262084955,0.005844259262084955,0.0034041726030409336,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
39,1413,2017-08-28,AFG,exact,0.01,-0.1,0.012759685516357422,-0.13122355937957764,-0.03122355937957763,0.03122355937957763,0.002613230375573039,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
40,2454,2021-10-20,AFG,exact,0.01,-0.1,0.06737625598907471,-0.14395540952682495,-0.043955409526824946,0.043955409526824946,0.0021687522530555725,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
41,2915,2023-08-23,AFG,exact,0.01,-0.1,-0.06564569473266602,-0.10702329874038696,-0.007023298740386957,0.007023298740386957,0.0038382154889404774,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
42,3461,2025-10-28,AFG,exact,0.01,-0.1,-0.0739130973815918,-0.05061686038970947,0.04938313961029053,0.04938313961029053,0.0036911601200699806,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
43,177,2012-03-13,AFG,exact,0.01,-0.1,0.007747769355773926,-0.1108127236366272,-0.010812723636627192,0.010812723636627192,0.002046046545729041,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
44,3516,2026-01-20,AFG,exact,0.01,-0.1,-0.03233820199966431,-0.09952652454376221,0.0004734754562377985,0.0004734754562377985,0.002792310668155551,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
45,3242,2024-12-10,AFG,exact,0.01,-0.1,0.05293405055999756,-0.12536835670471191,-0.02536835670471191,0.02536835670471191,0.002933436306193471,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
46,2670,2022-08-31,AFG,exact,0.01,-0.1,-0.0025340914726257324,-0.06177645921707153,0.03822354078292847,0.03822354078292847,0.0027921050786972046,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
47,1766,2019-01-25,AFG,exact,0.01,-0.1,0.08146750926971436,-0.1085352897644043,-0.008535289764404291,0.008535289764404291,0.004216966684907675,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
48,3154,2024-08-06,AFG,exact,0.01,-0.1,0.026378273963928223,-0.1367926001548767,-0.0367926001548767,0.0367926001548767,0.0020138861145824194,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
49,569,2013-12-23,AFG,exact,0.01,-0.1,0.017943620681762695,-0.1378096342086792,-0.037809634208679194,0.037809634208679194,0.002235968364402652,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
50,1118,2016-06-27,AFG,exact,0.01,-0.1,-0.019477903842926025,-0.07855725288391113,0.021442747116088873,0.021442747116088873,0.0024754006881266832,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
51,1161,2016-08-26,AFG,exact,0.01,-0.1,0.010724902153015137,-0.1253557801246643,-0.0253557801246643,0.0253557801246643,0.002109735971316695,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
52,674,2014-08-20,AFG,exact,0.01,-0.1,0.0011975765228271484,-0.12534457445144653,-0.025344574451446528,0.025344574451446528,0.002642486710101366,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
53,2573,2022-04-12,AFG,exact,0.01,-0.1,0.06647694110870361,-0.10551255941390991,-0.0055125594139099066,0.0055125594139099066,0.002395342569798231,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
54,659,2014-07-30,AFG,exact,0.01,-0.1,-0.02710127830505371,-0.12052756547927856,-0.02052756547927856,0.02052756547927856,0.0036412114277482033,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
55,1448,2017-10-17,AFG,exact,0.01,-0.1,0.03321409225463867,-0.11029642820358276,-0.010296428203582758,0.010296428203582758,0.0035622823052108288,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
56,690,2014-09-12,AFG,exact,0.01,-0.1,0.02967357635498047,-0.1144525408744812,-0.014452540874481196,0.014452540874481196,0.00343734840862453,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
57,3317,2025-04-02,AFG,exact,0.01,-0.1,0.06667220592498779,-0.1266549825668335,-0.02665498256683349,0.02665498256683349,0.0038368813693523407,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
58,3160,2024-08-14,AFG,exact,0.01,-0.1,-0.0173109769821167,-0.1056409478187561,-0.005640947818756098,0.005640947818756098,0.0030251177959144115,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
59,667,2014-08-11,AFG,exact,0.01,-0.1,-0.038227379322052,-0.1058053970336914,-0.005805397033691401,0.005805397033691401,0.002227194607257843,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
60,1119,2016-06-28,AFG,exact,0.01,-0.1,-0.0546075701713562,-0.15338897705078125,-0.053388977050781244,0.053388977050781244,0.0037092941347509623,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
61,228,2012-05-24,AFG,exact,0.01,-0.1,-0.0061983466148376465,-0.11775350570678711,-0.017753505706787104,0.017753505706787104,0.0021257412154227495,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
62,1993,2019-12-18,AFG,exact,0.01,-0.1,0.03314816951751709,-0.08515995740890503,0.014840042591094976,0.014840042591094976,0.0020196528639644384,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
63,84,2011-10-27,AFG,exact,0.01,-0.1,0.17586994171142578,-0.12440121173858643,-0.02440121173858642,0.02440121173858642,0.0036073888186365366,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
64,2246,2020-12-21,AFG,exact,0.01,-0.1,-0.018688499927520752,-0.07950407266616821,0.020495927333831793,0.020495927333831793,0.0028421860188245773,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
65,2408,2021-08-16,AFG,exact,0.01,-0.1,0.07832086086273193,-0.09973263740539551,0.00026736259460449774,0.00026736259460449774,0.0024485604371875525,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
66,1155,2016-08-18,AFG,exact,0.01,-0.1,0.02021610736846924,-0.11653250455856323,-0.016532504558563227,0.016532504558563227,0.002531432779505849,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
67,2418,2021-08-30,AFG,exact,0.01,-0.1,0.08135032653808594,-0.11490285396575928,-0.014902853965759272,0.014902853965759272,0.0025246459990739822,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
68,2684,2022-09-21,AFG,exact,0.01,-0.1,-0.02383136749267578,-0.11897814273834229,-0.01897814273834228,0.01897814273834228,0.004454937297850847,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
69,500,2013-09-16,AFG,exact,0.01,-0.1,0.032882094383239746,-0.06434619426727295,0.035653805732727056,0.035653805732727056,0.002349858172237873,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
70,1150,2016-08-11,AFG,exact,0.01,-0.1,0.017425060272216797,-0.08733940124511719,0.012660598754882818,0.012660598754882818,0.0023036631755530834,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
71,1356,2017-06-07,AFG,exact,0.01,-0.1,0.010871648788452148,-0.11487388610839844,-0.014873886108398432,0.014873886108398432,0.0030976503621786833,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,1
72,3338,2025-05-02,AFG,exact,0.01,-0.1,-0.03950965404510498,-0.07989537715911865,0.020104622840881353,0.020104622840881353,0.0035718607250601053,critic,critic_energy,legacy,runs/experiments/long_constituents/models/encoder.pt,runs/experiments/long_constituents/models/critic.pt,self_contrastive,0
