scenario,scope,series,num_tickers,total_return,max_drawdown,volatility,var_95,cvar_95,delta_vs_real_total_return,delta_vs_real_max_drawdown,delta_vs_real_volatility,delta_vs_real_var_95,delta_vs_real_cvar_95,delta_vs_baseline_total_return,delta_vs_baseline_max_drawdown,delta_vs_baseline_volatility,delta_vs_baseline_var_95,delta_vs_baseline_cvar_95
104,non_target,halluc,312,0.010652451485609005,-0.04888312774279746,0.012209736008192614,-0.014730756145944707,-0.019821981062852562,0.001366596893711769,-0.006201180637984249,0.000619827866698423,-0.0007769714010697135,-0.00018684914955129084,nan,nan,nan,nan,nan
104,non_target,real,312,0.009285854591897236,-0.04268194710481321,0.01158990814149419,-0.013953784744874994,-0.01963513191330127,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
105,all,halluc,316,-0.017538079749277125,-0.08871089737065363,0.023418458174716297,-0.03576070166422308,-0.04052385688749997,0.0009583502814649592,-0.005424962371408326,0.00036962801261451045,0.0003698797383481084,-0.0019903512719620445,nan,nan,nan,nan,nan
105,all,real,316,-0.018496430030742084,-0.0832859349992453,0.023048830162101786,-0.03613058140257119,-0.03853350561553793,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
105,non_target,halluc,316,-0.017538079749277125,-0.08871089737065363,0.023418458174716297,-0.03576070166422308,-0.04052385688749997,0.0009583502814649592,-0.005424962371408326,0.00036962801261451045,0.0003698797383481084,-0.0019903512719620445,nan,nan,nan,nan,nan
105,non_target,real,316,-0.018496430030742084,-0.0832859349992453,0.023048830162101786,-0.03613058140257119,-0.03853350561553793,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
106,all,halluc,307,-0.027126247240619294,-0.041278919032354255,0.01059518445073375,-0.01596728254302767,-0.033608984941889235,0.002453894043859428,0.0033807927591229525,0.0003978204389215659,0.0007891426408697007,-0.002758981203029299,nan,nan,nan,nan,nan
106,all,real,307,-0.029580141284478723,-0.04465971179147721,0.010197364011812184,-0.01675642518389737,-0.030850003738859936,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
106,non_target,halluc,307,-0.027126247240619294,-0.041278919032354255,0.01059518445073375,-0.01596728254302767,-0.033608984941889235,0.002453894043859428,0.0033807927591229525,0.0003978204389215659,0.0007891426408697007,-0.002758981203029299,nan,nan,nan,nan,nan
106,non_target,real,307,-0.029580141284478723,-0.04465971179147721,0.010197364011812184,-0.01675642518389737,-0.030850003738859936,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
